,A,B,C,Y
173,4.1628585,1.055713,4.141666,-0.12680148
174,1.3865111,2.532226,-2.3347857,-0.9131648
175,0.4376845,1.827983,-2.0070283,-2.0882428
176,3.8249094,-2.4059625,-1.2269555,0.31451234
177,0.26394978,1.437692,-0.8457979,-2.7234197
178,2.779108,-1.4431689,-2.90732,0.25964603
179,2.03852,0.90354985,3.691198,-0.22161907
180,4.6853147,-4.621821,3.8821714,0.49322417
181,3.5974207,2.9099784,-2.6072867,-0.40445346
182,0.53169566,4.7026267,-4.4094806,-4.4222918
183,4.050361,-3.1383889,-1.7841058,0.38742086
184,1.6066619,0.8500286,-1.263884,-0.2645325
185,0.0069958065,3.9354138,-4.285434,-281.2695
186,0.26871443,2.494765,-4.0875444,-4.642038
187,1.3964177,0.34884575,-2.4343495,-0.124907374
188,4.1206703,0.99834496,0.22947335,-0.121138655
189,1.3695546,-1.6778866,-2.91174,0.61256653
190,0.85794795,2.2769113,4.2195415,-1.3269517
191,0.09697505,-1.7477365,4.6551604,9.011269
192,0.97998714,-0.0707654,-1.8033785,0.03610527
193,4.4043217,-0.92645645,-1.3554497,0.10517584
194,4.0712013,-2.7323518,2.2556567,0.3355707
195,3.338706,-3.841705,3.5495422,0.5753284
196,1.4683887,2.5481963,-4.9348536,-0.8676845
197,0.5569975,0.98635733,3.434009,-0.88542354
198,3.5455108,-1.9264088,4.5948825,0.27166873
199,0.7829947,4.7913404,-1.1904675,-3.059625
200,0.57897365,-3.1737628,-3.612845,2.7408526
201,4.9835777,1.7170873,-0.7215185,-0.17227456
202,0.43122342,-3.220705,2.8615966,3.734381
203,4.4342537,4.874234,-1.8428069,-0.54961157
204,4.00526,1.0467712,-0.3344808,-0.13067456
205,0.16399997,-0.65442055,4.3380866,1.9951851
206,1.7779704,4.7886133,-1.3045437,-1.3466514
207,2.4828968,-2.377746,-4.9742465,0.478825
208,3.1441493,-3.5125382,3.2158198,0.55858326
209,4.4160953,1.1748863,3.853056,-0.1330232
210,2.3492174,-2.637966,-3.2964349,0.5614563
211,1.952782,-1.5288461,-0.23291533,0.3914534
212,1.9158454,-4.6135297,-2.6396,1.2040453
213,0.9699507,1.8057749,3.438632,-0.93085915
214,4.1573696,-1.6076316,-0.084836006,0.1933472
215,3.7119794,-3.3117507,1.01365,0.4460896
216,4.505107,3.5666544,4.098504,-0.3958457
217,3.976268,-2.5772483,-1.2692584,0.32407877
218,0.6045772,-1.3526232,-4.402017,1.1186522
219,2.254154,4.3435254,-4.62211,-0.9634491
220,1.9173954,-0.37965804,-4.5461245,0.09900358
221,3.6163034,-1.6649594,1.5253205,0.23020184
222,1.6937941,-3.4118595,-1.7885734,1.0071647
223,3.9076304,4.787496,-2.7941177,-0.61258304
224,1.6084424,-3.9065523,-1.8511244,1.2143898
225,4.9956036,-3.4496167,2.1948712,0.34526524
226,3.875429,-1.752226,0.98678195,0.22606866
227,4.581421,-0.7998843,2.4045866,0.08729653
228,3.5853221,-4.60578,-2.4126365,0.64231056
229,1.7927408,0.91294134,0.4713815,-0.25462168
230,0.86977774,3.9801772,4.1435146,-2.2880428
231,0.6271467,-3.3644638,4.655963,2.682358
232,2.265601,-1.2595762,2.0354624,0.2779784
233,2.6286285,0.56182224,-1.6062,-0.10686604
234,2.2333753,4.47775,3.9131584,-1.0024625
235,0.26429453,2.574333,-4.856453,-4.870197
236,1.242342,-2.597394,0.27430084,1.0453619
237,0.621894,-2.3107703,-1.7107213,1.857849
238,4.4659715,0.39568597,1.6679547,-0.0443001
239,4.775682,3.1291606,-3.6609776,-0.327614
240,1.9002792,-3.1345718,-4.711454,0.82476616
241,2.4305735,4.8345895,-2.2211785,-0.9945368
242,0.3168438,3.296621,-1.7108967,-5.202281
243,0.45942858,3.3542213,0.45278743,-3.6504276
244,4.1502624,1.0021927,0.99677944,-0.12073848
245,1.6239415,4.737216,3.6357124,-1.458555
246,2.811791,-3.761253,1.5551459,0.6688358
247,1.8423672,-2.375271,3.667125,0.6446248
248,3.1073494,1.2341131,3.8294106,-0.19857971
249,4.897103,0.64702934,3.2231529,-0.066062465
250,2.3163042,3.8074818,-3.5402634,-0.8218872
251,4.7547965,3.9970593,3.2314794,-0.42031866
252,4.386484,-2.1510394,0.87208515,0.24518946
253,4.496502,1.5136304,1.5086656,-0.16831198
254,3.0407808,2.2931688,3.0849688,-0.37706906
255,0.5123234,4.5017567,-2.503806,-4.3934717
256,3.3149111,3.8893983,-3.1941311,-0.586652
257,3.9756422,4.2706842,-2.3329544,-0.5371062
258,4.6218433,2.837803,3.6041534,-0.30699903
259,2.6627266,-0.43448427,-4.1939645,0.081586346
260,4.994062,1.4144752,-0.0477923,-0.14161572
261,4.7296524,4.396456,4.0971413,-0.4647758
262,2.421103,-2.7749462,4.2803016,0.5730748
263,3.7055311,3.23007,-1.6165885,-0.43584445
264,4.4571147,0.45596564,4.065889,-0.051150315
265,0.7469306,-3.122919,-3.0179608,2.0905015
266,3.9122572,1.7326286,1.239562,-0.22143592
267,2.4033995,0.32273847,-4.189169,-0.06714208
268,1.2347851,-2.9433446,-2.567198,1.1918449
269,2.3082144,4.282175,1.0474591,-0.9275947
270,1.5547053,-1.620579,-3.5482228,0.5211853
271,1.5763425,-0.74353445,3.8368974,0.23584166
272,3.3184144,3.6814473,-0.4923396,-0.5546997
273,2.750956,-0.6943783,0.160964,0.12620673
274,1.6864153,-0.93474627,-2.1169853,0.27714
275,0.034852367,-1.2696074,4.634916,18.214077
276,2.8773496,-0.47006148,-3.9337714,0.08168306
277,3.867528,4.50366,-3.8065789,-0.58224016
278,0.73342127,4.757246,0.4281023,-3.243188
279,0.8053204,3.2791078,-4.9336166,-2.0359027
280,1.1366158,-3.9046278,-1.2267947,1.7176552
281,1.7761227,2.3916001,-0.962723,-0.6732643
282,1.1985068,0.9745836,1.5700885,-0.40658242
283,1.1981648,-2.8044121,2.646121,1.1702949
284,4.754842,0.1247411,2.8574376,-0.0131172715
285,4.1601977,3.8884547,-0.11155989,-0.4673401
286,3.9339535,4.549896,3.176092,-0.57828534
287,3.1088054,1.473782,0.70987016,-0.23703347
288,0.9826203,-4.584021,-1.4963242,2.3325496
289,2.898354,3.8631506,1.048132,-0.6664387
290,0.9390172,-2.276159,-4.695962,1.21199
291,3.8302352,2.503528,-0.34606194,-0.32681128
292,1.1327595,2.8382816,4.54478,-1.2528175
293,2.3404791,3.7175403,-3.0636744,-0.7941837
294,2.313207,-4.493228,-3.388835,0.97121185
295,4.474496,-3.6125007,-3.7270586,0.40367684
296,2.710813,4.6693735,-3.334211,-0.8612497
297,4.9835443,-2.1223834,2.7683365,0.21293916
298,0.8231781,-4.9696217,-2.6092272,3.018558
299,2.2266698,-3.5448709,-2.7022111,0.7960028
300,4.8679805,-4.5273294,3.9136443,0.46501106
301,2.2502491,2.1585057,3.12343,-0.47961476
302,3.6657565,-4.4071984,-3.6967423,0.60113084
303,1.69298,-3.301981,3.3641155,0.97519785
304,3.4527774,-0.11057177,4.1539493,0.016012004
305,3.838974,-3.3723977,-3.2531228,0.43923163
306,4.404355,-2.606869,2.0668294,0.2959422
307,0.8671112,-1.6628771,-2.6609004,0.95886034
308,1.5192395,3.5413163,4.6029763,-1.1654898
309,4.227101,-0.39265516,1.4806641,0.046444975
310,2.875999,2.0961664,-1.8763485,-0.36442405
311,2.3247542,-2.8342052,-1.1345212,0.6095709
312,0.8882112,-0.6004718,-1.9316909,0.3380231
313,4.888569,2.292382,1.1093917,-0.23446351
314,3.1795843,-3.314303,3.784507,0.521185
315,2.9439723,2.298384,2.4815614,-0.39035422
316,4.001244,0.034192085,-3.2898433,-0.0042726817
317,3.5791097,-4.441851,-0.6851934,0.6205246
318,1.8835634,0.18450016,-0.8172129,-0.04897636
319,2.0983953,-1.3237011,-1.1742018,0.31540793
320,2.0328822,-0.34351054,-3.838466,0.08448855
321,0.7395256,2.3163087,-1.333936,-1.5660775
322,0.5229549,2.0828044,-2.5720794,-1.9913806
323,4.8502235,-0.456993,3.8542027,0.04711051
324,2.0703478,3.9877625,-0.32462707,-0.96306586
325,0.10020329,4.7191486,0.4299386,-23.547873
326,3.0230467,-1.048345,2.492246,0.17339212
327,0.41858804,2.743237,3.671562,-3.2767742
328,1.4819608,-2.6384633,-1.0886439,0.89019334
329,3.8233364,-3.2800844,-0.6387415,0.42895576
330,4.9005756,1.6227232,0.6622092,-0.16556457
331,4.332434,-4.4813347,-3.3873315,0.5171844
332,0.44903624,0.15162148,3.4851804,-0.16882989
333,4.971982,-3.951321,-0.6140245,0.39735875
334,2.922319,-2.0351439,4.352429,0.348207
335,1.8514049,3.9233677,4.262505,-1.0595651
336,4.8420525,4.1983867,1.3623866,-0.4335338
337,4.23837,1.3614091,-0.9096396,-0.16060528
338,1.4632038,-4.6555147,-4.0473604,1.5908635
339,0.6537784,4.518544,-2.6089709,-3.4557154
340,2.5724113,0.02159049,2.3830082,-0.0041965474
341,3.464631,2.6071951,2.269609,-0.37625873
342,4.4532533,4.414336,-0.6370753,-0.4956305
343,4.5186806,0.18745892,-4.0333443,-0.02074266
344,3.5785446,-3.6104703,3.5720732,0.5044607
345,0.30823192,-3.9256525,0.9300091,6.368017
346,4.139478,-2.9515877,4.559099,0.3565169
347,4.8996143,-4.1574616,4.0973988,0.42426413
348,4.495891,-0.96948576,3.1315036,0.10781909
349,3.254777,-2.4908166,2.9374297,0.38264015
350,2.9736712,0.59875524,-2.6681473,-0.1006761
351,3.3107793,0.031666514,1.6869916,-0.0047823354
352,1.0566547,-2.7424355,-3.992492,1.2976971
353,2.5970356,1.0188491,-1.8480997,-0.19615616
354,1.4774584,-3.98845,-3.3908815,1.3497673
355,2.2632537,-2.9628305,3.498537,0.65455115
356,4.9047804,0.7260558,-4.73754,-0.07401512
357,4.883882,-2.2265306,-4.3800244,0.2279468
358,1.7199728,4.4980507,3.6454098,-1.3075935
359,4.159274,-0.62471426,-3.4592948,0.07509895
360,0.6307589,3.0490913,4.3140836,-2.4170022
361,2.7967887,4.5145493,1.5189213,-0.8070951
362,2.0983026,-0.5419932,-0.38309294,0.12915039
363,1.331916,-2.0079246,1.7295984,0.753773
364,0.77784824,-1.1874377,2.5033014,0.76328367
365,1.8723817,-2.6896348,-3.142036,0.7182389
366,0.5235728,-4.2327576,-4.3481135,4.0421863
367,2.134431,-0.55544454,-2.6183503,0.13011536
368,3.0370321,1.9686773,-0.37782678,-0.32411203
369,0.44950327,-0.8192257,-0.8088563,0.9112567
370,3.4975967,2.13794,-0.96796,-0.30562982
371,4.641328,0.29055518,-4.611756,-0.03130087
372,1.3235115,-1.8856584,-0.008764232,0.71236944
373,1.1788576,3.0380929,-4.139483,-1.2885749
374,3.1507485,-2.6726494,-1.4004486,0.42412928
375,3.6020863,3.9125204,3.0628848,-0.5430909
376,3.0261965,-4.9884744,-2.5220144,0.8242152
377,4.55609,-4.1431284,-3.08379,0.45468026
378,1.5169783,1.9828684,-3.1587782,-0.6535586
379,0.78225994,3.562671,-0.91805923,-2.2771657
380,0.051144764,4.910279,3.0351,-48.00373
381,4.975621,3.8816116,3.6473014,-0.39006302
382,2.133589,-0.18677364,-0.49841562,0.043769825
383,0.08268512,0.43672118,0.36556137,-2.6408691
384,3.634534,-4.8374715,-3.660029,0.6654872
385,1.3631958,-3.736584,-3.268026,1.3705235
386,0.78295636,3.1527953,-2.8672545,-2.0133915
387,4.4429154,2.3205233,-3.6141078,-0.2611487
388,0.9283498,-2.4749434,2.2561522,1.33298
389,2.7584765,0.47747776,-4.42598,-0.08654737
390,0.6400779,-1.9975531,3.3696258,1.5603986
391,0.7457577,4.083758,-0.13996729,-2.7379925
392,0.9132324,1.4012953,1.6991922,-0.7672172
393,2.2586246,1.6194708,3.06657,-0.35850817
394,4.1306868,-3.7798374,0.38507855,0.45753136
395,2.7311428,-0.80385435,3.4201517,0.14716446
396,2.7879364,-1.5089722,-3.6256843,0.2706253
397,3.8063915,0.5135279,2.9269156,-0.06745601
398,4.9995236,-4.5286818,4.3196716,0.4529113
399,0.9054552,-2.0255146,-0.86050606,1.1185063
400,1.767451,-1.6265843,3.7003255,0.46014974
401,2.8805425,-2.1947634,3.1841764,0.38096353
402,4.3033156,2.9618185,3.5741246,-0.34413216
403,3.5271475,3.7043958,1.4551789,-0.5251263
404,0.9907553,-0.29825923,2.9516563,0.15052114
405,4.112524,2.0396194,3.3858192,-0.24797662
406,2.9808753,-1.3977596,3.5577261,0.23445454
407,4.0700636,-2.0854135,0.95013905,0.25618932
408,3.4736235,-3.4625401,4.815603,0.49840465
409,3.6136968,2.232561,-0.27542204,-0.30890268
410,3.5830119,-2.9955597,-3.664344,0.41802257
411,0.18236135,0.14171138,0.62214905,-0.38854557
412,1.9098293,-0.21789159,-0.78555954,0.057044785
413,1.3679346,-1.055101,4.2092032,0.3856548
414,1.302089,-1.4922945,0.8182996,0.57303864
415,1.7901076,-4.6741877,-4.214823,1.3055605
416,2.7127404,-4.9190545,-0.4383068,0.90665776
417,0.8330901,-4.398095,-0.6589425,2.6396275
418,0.7548744,3.9891772,-1.9544165,-2.642279
419,1.2095479,-2.8860123,2.8815312,1.1930128
420,0.6630581,0.5342688,-4.4231987,-0.40288234
421,0.86085004,-1.9198424,3.9808133,1.1150852
422,3.9744637,-4.124883,1.2417456,0.5189232
423,0.09900928,0.68243104,2.8053782,-3.4462981
424,2.4439769,-4.341345,-4.3881745,0.88817227
425,1.6874636,-2.5944252,-4.032065,0.7687352
426,0.40433446,-1.6936157,4.3127704,2.0943253
427,2.109138,-4.09885,2.221652,0.9716884
428,4.7252545,-4.9563727,-1.6615353,0.52445567
429,0.045365255,-3.178822,-3.2944586,35.03587
430,2.4441109,1.702991,4.362523,-0.3483866
431,3.1912465,-2.104194,-1.3192253,0.32968214
432,1.8529193,-4.074307,2.583772,1.0994291
433,3.251095,3.157642,-3.2589378,-0.4856274
434,2.0187476,-2.8249345,3.7086828,0.699675
435,0.8575211,-0.80611134,0.26021785,0.4700242
436,3.7888684,4.6956234,3.1274014,-0.6196604
437,1.7984502,2.4395971,4.7198944,-0.6782498
438,0.7670725,-1.9503552,0.81209624,1.2712978
439,0.53815675,-0.52178013,-2.9719121,0.4847845
440,0.6909907,-3.593525,0.72461003,2.60027
441,3.2513776,4.464349,3.497705,-0.68653196
442,2.9498785,-1.9164786,-1.092604,0.32484028
443,2.7160892,-3.3224342,2.682726,0.61162096
444,1.743175,-2.2958004,-0.7847801,0.6585112
445,2.8022707,1.4483309,-2.7332954,-0.25842094
446,1.6615565,-2.0667417,1.3520329,0.6219294
447,1.9426965,4.224796,-3.0254915,-1.0873536
448,0.45450035,-4.378495,4.337717,4.816823
449,1.3883295,-1.6188432,0.9334536,0.58301836
450,2.9488883,1.5228235,0.0762384,-0.25820297
451,0.24949531,1.163326,4.1661797,-2.3313584
452,3.8305328,-1.987013,2.3201265,0.25936508
453,3.4836233,2.7100184,1.2906425,-0.3889655
454,1.1961297,2.9183013,-4.229829,-1.2198933
455,2.731524,2.0365448,-2.509003,-0.37278548
456,0.20678376,-2.0995047,2.9408166,5.0765705
457,1.4432636,-2.5160813,-3.8100414,0.87166375
458,4.6875978,-0.91832155,-2.8672886,0.09795226
459,2.1204169,-4.818433,4.622874,1.1361995
460,4.6106534,0.66082895,1.9634614,-0.07166327
461,0.8763363,2.7769551,-4.4491143,-1.5844117
462,4.716693,2.4272802,-4.5244055,-0.25730744
463,2.3917994,4.27008,-4.238328,-0.8926501
464,3.3034747,4.261476,-3.9151347,-0.6449991
465,2.4562302,-4.3996677,2.0644307,0.8956139
466,4.5713506,-1.2151933,4.9836535,0.13291404
467,3.2324853,1.6376894,-3.1841388,-0.25331736
468,1.6593002,-3.4632761,4.0806136,1.0435954
469,2.782391,1.6010461,2.4261878,-0.28771046
470,2.3782492,-4.40279,3.1952193,0.9256369
471,3.8554907,0.571127,2.1031125,-0.07406671
472,1.741201,-2.7536922,-0.47383392,0.790745
473,1.3012396,-4.8959455,3.8437345,1.8812621
474,2.9980898,0.84079844,-0.50261915,-0.14022236
475,1.7636436,-3.881952,-1.7547393,1.1005489
476,3.1143863,-2.4185607,2.7672787,0.38828853
477,1.0330412,-2.3485558,-1.8421029,1.1367193
478,4.145055,-2.5518706,-4.6846595,0.3078211
479,0.6386557,-1.71603,3.546601,1.3434703
480,0.7972482,1.1645745,4.6779284,-0.7303714
481,3.2971673,1.5389135,3.3446586,-0.23336904
482,3.5619879,2.8892462,-4.4951825,-0.40556654
483,2.474498,-1.7638791,-2.8280745,0.3564115
484,0.44294173,-2.2909405,0.940666,2.586052
485,0.15369457,3.4053423,-2.6499085,-11.078278
486,4.409588,-3.8815792,-1.1552789,0.4401295
487,0.8400889,-3.8620815,2.739591,2.2986147
488,3.576015,3.6755328,-2.8764138,-0.51391464
489,2.2199056,4.8852706,-4.067409,-1.1003329
490,2.581782,3.4942214,-4.3643517,-0.67670727
491,0.70263845,-4.5358596,4.431622,3.2277334
492,1.8075106,0.06935402,2.0763626,-0.019184954
493,4.3387394,-2.159694,-2.9041405,0.24888496
494,1.1863161,-4.9936476,-4.527147,2.1046865
495,4.434317,2.5082366,-2.3807032,-0.2828211
496,2.4036257,-4.530356,-1.6873629,0.9424004
497,2.3455503,4.2765765,3.476981,-0.91163605
498,2.2635603,0.033539943,-1.6094996,-0.00740867
499,0.3728295,0.1286108,0.40812996,-0.17247939
500,2.418949,-0.71505076,-4.585632,0.14780195
501,3.1365626,-0.9748778,-2.4301994,0.15540543
502,2.594618,4.492346,-2.3464108,-0.86570466
503,2.6908767,4.274158,1.2972603,-0.7941942
504,0.019574326,-2.9331586,-4.793165,74.923615
505,2.172894,-1.7540227,-2.692763,0.40361443
506,0.924247,-4.764623,-4.76257,2.5775702
507,2.2549117,-4.190576,1.9236068,0.9292106
508,0.5980437,1.6513487,-1.0017816,-1.3806255
509,4.2572956,3.3069968,3.394457,-0.38839173
510,2.4295871,2.27096,2.2627473,-0.46735516
511,2.9839587,-4.726467,0.045636766,0.7919793
512,1.1491725,-3.3786373,2.0709262,1.4700304
513,2.1753051,4.819764,4.918832,-1.1078364
514,4.3790007,-4.7384133,-1.3527049,0.5410382
515,4.3589444,-1.424611,-3.0263407,0.16341238
516,3.6566715,4.6823573,-2.07608,-0.64024854
517,4.524102,0.74843127,-2.0550942,-0.082715996
518,0.03239095,1.566198,2.1084766,-24.176476
519,2.0260632,2.9407015,0.9931442,-0.72571814
520,1.4219185,1.8024651,4.297521,-0.63381445
521,2.478911,-2.9309494,0.26025835,0.59117687
522,3.416528,3.3658864,-1.8624934,-0.49258876
